0.01	0.045887345
0.011	0.048015789
0.012	0.050031457
0.013	0.05196707
0.014	0.053822129
0.015	0.055579693
0.016	0.057289092
0.017	0.058917106
0.018	0.060480013
0.02	0.063426615
0.0225	0.06682
0.025	0.069902298
0.0275	0.072722008
0.03	0.075278798
0.0325	0.07760522
0.035	0.079700944
0.0375	0.081598688
0.04	0.083315062
0.045	0.086202537
0.05	0.088445416
0.055	0.090126081
0.06	0.091310303
0.065	0.092064185
0.07	0.092437306
0.08	0.09223961
0.09	0.091114649
0.1	0.089360639
0.11	0.087192965
0.12	0.084777385
0.13	0.08227974
0.14	0.079749642
0.15	0.077286626
0.16	0.074890579
0.17	0.072611243
0.18	0.070448552
0.2	0.066472872
0.225	0.062181455
0.25	0.058522293
0.275	0.055395466
0.3	0.052701104
0.325	0.050356046
0.35	0.048277148
0.375	0.046431091
0.4	0.044784624
0.45	0.041924189
0.5	0.039512844
0.55	0.037450804
0.6	0.035654889
0.65	0.034058565
0.7	0.032628596
0.8	0.03016779
0.9	0.028089539
1	0.026327258
1.1	0.024897439
1.2	0.023467841
1.3	0.022270942
1.4	0.02124027
1.5	0.020292757
1.6	0.019461599
1.7	0.018696952
1.8	0.017998808
2	0.016768765
2.25	0.015483895
2.5	0.014406823
2.75	0.013489333
3	0.012696514
3.25	0.012001771
3.5	0.011388477
3.75	0.010843332
4	0.010353039
4.5	0.009510411
5	0.008807402
5.5	0.008212428
6	0.007700557
6.5	0.007256828
7	0.006866284
8	0.006209844
9	0.005679713
10	0.00524099
